dealID,proposedTickerSymbol_x,companyName_x,proposedExchange,proposedSharePrice,sharesOffered,pricedDate,dollarValueOfSharesOffered_x,dealStatus,proposedTickerSymbol_y,companyName_y,filedDate,dollarValueOfSharesOffered_y
1148024-97291,VERA,"Vera Therapeutics, Inc.",NASDAQ Global,11.00,"4,350,000",5/14/2021,"$47,850,000",Priced,VERA,"Vera Therapeutics, Inc.",4/23/2021,"$47,850,000"
1148036-96252,,,,,,,,,BDS,Building DreamStar Technology Inc.,2/25/2021,"$29,095,000.00"
1148048-96255,,,,,,,,,,Jaws Wildcat Acquisition Corp,2/25/2021,"$287,500,000"
1148049-96256,HCNEU,Jaws Hurricane Acquisition Corp,NASDAQ Capital,10.00,"27,500,000",6/11/2021,"$275,000,000",Priced,HCNEU,Jaws Hurricane Acquisition Corp,2/25/2021,"$275,000,000"
1148051-96257,AFAQU,AF Acquisition Corp.,NASDAQ Capital,10.00,"20,000,000",3/19/2021,"$200,000,000",Priced,AFAQU,AF Acquisition Corp.,2/25/2021,"$200,000,000"
1148054-96258,ORIAU,Orion Biotech Opportunities Corp.,NASDAQ Capital,10.00,"20,000,000",5/13/2021,"$200,000,000",Priced,ORIAU,Orion Biotech Opportunities Corp.,2/25/2021,"$200,000,000"
1148112-96262,BSKYU,"Big Sky Growth Partners, Inc.",NASDAQ Capital,10.00,"30,000,000",4/29/2021,"$300,000,000",Priced,BSKYU,"Big Sky Growth Partners, Inc.",2/26/2021,"$300,000,000"
1148115-96264,TUYA,Tuya Inc.,NYSE,21.00,"43,590,000",3/18/2021,"$915,390,000",Priced,TUYA,Tuya Inc.,2/26/2021,"$915,390,000"
1148132-96266,,,,,,,,,,"Leonardo DRS, Inc.",2/26/2021,"$807,070,000"
1148166-96268,TRTLU,TortoiseEcofin Acquisition Corp. III,NYSE,10.00,"30,000,000",7/20/2021,"$300,000,000",Priced,TRTLU,TortoiseEcofin Acquisition Corp. III,2/26/2021,"$300,000,000"
1148188-96273,,,,,,,,,,Switchback III Corp,2/26/2021,"$316,250,000"
1148195-96274,HYW,Santech Holdings Ltd,NASDAQ Global,10.00,"3,000,000",3/26/2021,"$30,000,000",Priced,HYW,Santech Holdings Ltd,2/26/2021,"$30,000,000"
1148208-96275,KSICU,Kadem Sustainable Impact Corp,NASDAQ Capital,10.00,"17,500,000",3/17/2021,"$175,000,000",Priced,KSICU,Kadem Sustainable Impact Corp,2/26/2021,"$175,000,000"
1148218-96276,RNAZ,"Transcode Therapeutics, Inc.",NASDAQ Capital,4.00,"6,250,000",7/09/2021,"$25,000,000",Priced,RNAZ,"Transcode Therapeutics, Inc.",2/26/2021,"$25,000,000"
1148236-96282,,,,,,,,,,Foresite Life Sciences Corp.,2/26/2021,"$287,500,000"
1148247-96287,BYTSU,"Airship AI Holdings, Inc.",NASDAQ Capital,10.00,"30,000,000",3/19/2021,"$300,000,000",Priced,BYTSU,"Airship AI Holdings, Inc.",2/26/2021,"$300,000,000"
1148256-96294,,,,,,,,,,"INTERMEDIA CLOUD COMMUNICATIONS, INC.",2/26/2021,"$100,000,000"
1148263-96297,,,,,,,,,,Blueprint Health Merger Corp.,2/26/2021,"$230,000,000"
1148266-96299,CNTB,Connect Biopharma Holdings Ltd,NASDAQ Global,17.00,"11,250,000",3/19/2021,"$191,250,000",Priced,CNTB,Connect Biopharma Holdings Ltd,2/26/2021,"$191,250,000"
1148272-96302,,,,,,,,,,Cornerstone Investment Capital Holdings Co.,2/26/2021,"$287,500,000"
1148273-96301,,,,,,,,,,RMG Acquisition Corp. IV,2/26/2021,"$230,000,000"
1148274-96304,KARO,Karooooo Ltd.,NASDAQ Capital,28.00,"1,050,000",4/01/2021,"$29,400,000",Priced,KARO,Karooooo Ltd.,2/26/2021,"$29,400,000"
1148281-96305,APACU,DIGIASIA CORP.,NASDAQ Capital,10.00,"20,000,000",7/16/2021,"$200,000,000",Priced,APACU,DIGIASIA CORP.,2/26/2021,"$200,000,000"
